Identifier	Character	Dialogue	Filename	Line Number
start_da788ff9	mateo	Urrgh...How long was I napping for?	game/script.rpy	17
start_2c5f54d3		An ominous silence envelopes the hazy surroundings.	game/script.rpy	18
start_8eb13421	mateo	Wait...where am I?	game/script.rpy	19
start_95048e95		The haze lifts to reveal a familiar laboratory	game/script.rpy	20
start_ad7d0726	mateo	Why am I at the IM Lab? Wasn’t I in my dorm coding shaders?	game/script.rpy	21
start_14a9487f		It was indeed the IM lab, but something seemed off….	game/script.rpy	22
start_ea86dacd	mateo	HOLD ON - WHAT THE FUCK	game/script.rpy	23
start_ecb12fd9	mateo	WHERE IS ALL THE COLOUR??!!?	game/script.rpy	24
start_c30e015f	ukn	There you are!	game/script.rpy	25
start_30d0add8	ukn	Mateo!	game/script.rpy	26
start_d7ac5337		Two people made only of wireframes run to you from the doorway	game/script.rpy	27
start_f03960a3	wire1	Mateo, you're the only one who can help us!	game/script.rpy	28
start_bbadff16	wire2	The reason everything looks like this is because there are no more shaders!	game/script.rpy	29
start_69d38ddd	mateo	What......	game/script.rpy	30
start_94629d3d	mateo	...........	game/script.rpy	31
start_871922dd	mateo	.......................	game/script.rpy	32
start_a4eb2ebe	mateo	WHAT DO YOU MEAN NO MORE SHADERSSSSSSSS?!?!?!?!?!?!?!	game/script.rpy	33
start_5f6c90f8	wire1	 All the shaders have been stolen from this world by an entity known only as Le Monsieur	game/script.rpy	34
start_f0e5d7bb	wire2	Each shader has been imprisoned in a different location, take this mip_map, it will lead you to them.	game/script.rpy	35
start_62c8d264	mateo	Uhhh that’s not what a mip_map does...	game/script.rpy	36
start_11d58130	wire1	 Dude just go with it, we’re kinda of in a situation here	game/script.rpy	37
start_05677ed2		Do you take the mip_map anyways?	game/script.rpy	38
Nope_cb7648b6	wire1	Uh oh, this is unexpected	game/script.rpy	46
Nope_fc595b03	wire2	I guess we'll come back later then	game/script.rpy	47
Nope_821da253		A few hours later in a shaderless void	game/script.rpy	48
Nope_7aaed5e1	wire2	Are you ready now?	game/script.rpy	49
Yep_4ad74243	wire1	Good luck! And, watch out for Le Monsieur, he is very powerful and dangerous	game/script.rpy	55
Yep_4e7f587b	wire2	Especially with his all consuming sass	game/script.rpy	56
Yep_0ac0e98e	mateo	I guess I have to save these shaderlords now	game/script.rpy	57
Yep_8f8b9198	mateo	Shmerp	game/script.rpy	58
Yep_e2e06918	mateo	If I'm gonna defeat this Le Moose guy-	game/script.rpy	59
Yep_c6108b8c		It's Le Monsieur	game/script.rpy	60
Yep_6dde5797	mateo	Whatever. If I'm gonna defeat him....I need coffee	game/script.rpy	61
Yep_881aa3b3	mateo	COFFFFEEEEEEEEEEEEE	game/script.rpy	62
Yep_a12d08a2		You make your way up to the Library Cafe. If you had only checked your mip_map before rushing there, you would know that there was far more in store for you than just an Iced Cafe Latte with hazelnut syrup	game/script.rpy	63
Yep_4a1bb5f8	mateo	Wat? Okay whatever, I’ll check the miMAP later, right now I just want coffee.	game/script.rpy	64
Yep_37239713		You enter the Library Cafe, still unaware of what you’re walking into	game/script.rpy	65
Yep_af211de1	alia	Mateo! Finally!	game/script.rpy	66
Yep_7d6f230a	mateo	Wait, you know me?	game/script.rpy	67
